Equipo Local,Equipo Visitante,Competicion,1,X,2,HR,AR
Espanyol,Huesca, 1ª División,1.72,3.60,5.00,['17'],['20']
Getafe,Rayo Vallecano, 1ª División,1.70,3.60,5.50,['11'],['19']
Sevilla,Barcelona, 1ª División,3.60,4.20,1.85,['4'],['1']
Alavés,Celta de Vigo, 1ª División,2.30,3.30,3.20,['10'],['12']
Athletic de Bilbao,Eibar, 1ª División,2.10,3.25,3.80,['15'],['7']
Leganés,Valencia, 1ª División,2.80,3.10,2.70,['14'],['5']
Atlético de Madrid,Villarreal, 1ª División,1.53,3.80,7.50,['2'],['8']
Valladolid,Real Betis, 1ª División,2.70,3.20,2.75,['18'],['9']
Levante,Real Madrid, 1ª División,6.00,4.75,1.50,['16'],['3']
Girona,Real Sociedad, 1ª División,2.37,3.20,3.00,['13'],['6']
Rayo Vallecano,Girona, 1ª División,2.62,3.20,2.70,['19'],['13']
Espanyol,Valladolid, 1ª División,1.70,3.50,5.25,['17'],['18']
Villarreal,Alavés, 1ª División,1.80,3.50,4.50,['8'],['10']
Huesca,Sevilla, 1ª División,4.00,3.30,1.95,['20'],['4']
Real Madrid,Barcelona, 1ª División,2.50,3.50,2.62,['3'],['1']
Eibar,Celta de Vigo, 1ª División,1.90,3.60,3.75,['7'],['12']
Real Betis,Getafe, 1ª División,1.90,3.20,4.33,['9'],['11']
Real Sociedad,Atlético de Madrid, 1ª División,3.40,3.10,2.25,['6'],['2']
Valencia,Athletic de Bilbao, 1ª División,1.80,3.25,5.00,['5'],['15']
Leganés,Levante, 1ª División,1.95,3.20,4.10,['14'],['16']
