tenista_1,tenista_2,torneo,1,2
Stefanos Tsitsipas,Rafael Nadal,Open de Australia ,5.50,1.14
Novak Djokovic,Lucas Pouille,Open de Australia ,1.050,11.00
Petra Kvitova,Danielle Collins,Open de Australia ,1.22,4.33
Karolina Pliskova,Naomi Osaka,Open de Australia ,2.10,1.72
Madison Brengle,Renata Zarazua,WTA Newport Beach ,1.16,5.00
Hanna Chang,Taylor Townsend,WTA Newport Beach ,7.00,1.10
Jil Teichmann,Jovana Jaksic,WTA Newport Beach ,1.36,3.00
Bianca Andreescu,Katie Volynets,WTA Newport Beach ,1.11,6.50
Guiliana Olmos,Nicole Gibbs,WTA Newport Beach ,3.50,1.28
Sofya Zhuk,Katherine Sebov,WTA Newport Beach ,1.57,2.25
Mirza Basic,Jay Clarke,Challenger de Burnie ,1.53,2.37
Steven Diez,Mohamed Safwat,Challenger de Burnie ,2.10,1.66
Zhe Li,Stephane Robert,Challenger de Burnie ,1.83,1.83
Jeremy Beale,Maverick Banes,Challenger de Burnie ,2.75,1.40
Stefano Napolitano,Max Purcell,Challenger de Burnie ,1.66,2.10
Harry Bourchier,Lorenzo Giustino,Challenger de Burnie ,3.00,1.36
Kamil Majchrzak,Go Soeda,Challenger de Burnie ,1.36,3.00
Sebastian Fanselow,Marc Polmans,Challenger de Burnie ,2.20,1.61
Taylor Fritz,Marcos Giron,Challenger de Newport Beach ,1.18,4.50
Brayden Schnur,Maxime Cressy,Challenger de Newport Beach ,1.50,2.50
Kaichi Uchida,Peter Polansky,Challenger de Newport Beach ,3.00,1.36
Collin Altamirano,Victor Estrella Burgos,Challenger de Newport Beach ,2.00,1.72
Alejandro Tabilo,Facundo Arguello,Challenger de Punta del Este ,3.50,1.28
Matias Franco Descotte,Andrea Collarini,Challenger de Punta del Este ,3.00,1.36
Juan P Varillas,Gianluigi Quinzi,Challenger de Punta del Este ,3.75,1.25
Guido Andreozzi,Emilio Gomez,Challenger de Punta del Este ,1.25,3.75
Adrian Mannarino,Jurij Rodionov,Challenger Rennes ,1.53,2.37
James Ward,Benoit Paire,Challenger Rennes ,4.50,1.18
Raul Brancaccio,Quentin Halys,Challenger Rennes ,3.40,1.30
Aslan Karatsev,Corentin Moutet,Challenger Rennes ,2.20,1.61
Salvatore Caruso,Ricardas Berankis,Challenger Rennes ,4.33,1.20
Sergiy Stakhovsky,Marcos Baghdatis,Challenger Rennes ,2.75,1.40
Yannick Maden,Andrea Arnaboldi,Challenger Rennes ,1.28,3.50
Duje Kekez,Luis G Monio,ITF 15 Antalya ,1.50,2.50
Maciej Rajski,Timofei Skatov,ITF 15 Antalya ,1.44,2.62
Samuel Brosset,Stefano Baldoni,ITF 15 Antalya ,2.00,1.72
Gokberk Ergeneman,Ergi Kirkin,ITF 15 Antalya ,7.50,1.071
Mathieu Perchicot,Juan Manuel Cerundolo,ITF 15 Antalya ,1.083,7.00
Andres F Canovas,Vladimir Korolev,ITF 15 Antalya ,2.20,1.61
Georg Winkler,Tom Fawcett,ITF 15 Antalya ,2.10,1.66
Nikita Mashtakov,Wilson Leite,ITF 15 Antalya ,4.50,1.16
Simon Freund,Matyas Fuele,ITF 15 Antalya ,3.40,1.30
Khumoyun Sultanov,Alexander Vasilenko,ITF M25 Kazán ,1.66,2.10
Maxim Ratniuk,Matvey Minin,ITF M25 Kazán ,1.57,2.25
Andrea Pellegrino,Emiliano Maggioli,ITF M15 Monastir ,1.66,2.10
Riccardo Balzerani,Aidan Mchugh,ITF M15 Monastir ,1.72,2.00
Aryan Goveas,Zhizhen Zhang,ITF M15 Monastir ,5.00,1.14
Gilbert S K Junior,Maxime Pauwels,ITF M15 Monastir ,2.37,1.53
Jonathan Gray,Alen Avidzba,ITF M15 Monastir ,5.00,1.14
Tiago Cacao,Christian Seraphim,ITF M15 Monastir ,1.33,3.25
Adrian Obert,Nick Chappell,ITF M25 Palm Coast ,2.62,1.44
Matic Spec,Jumpei Yamasaki,ITF M25 Palm Coast ,2.50,1.50
Aron Hiltzik,Nicolas Mejia,ITF M25 Palm Coast ,5.50,1.12
Dennis Uspensky,Walter Trusendi,ITF M15 Palmanova ,2.75,1.40
Vullnet Tashi,Pol M Tiffon,ITF M15 Palmanova ,3.25,1.33
Benjamin Lock,David Poljak,ITF M15 Sharm El Sheikh ,1.72,2.00
Lukas Klein,Adrian Andrzejczuk,ITF M15 Sharm El Sheikh ,1.12,5.50
Mats Rosenkranz,Chun Hsin Tseng,ITF M15 Sharm El Sheikh ,4.00,1.22
Vaclav Safranek,Kacper Zuk,ITF M15 Sharm El Sheikh ,1.28,3.50
Oleksii Krutykh,Arthur Rinderknech,ITF M15 Sharm El Sheikh ,4.33,1.20
Enrico Dalla Valle,Vladyslav Orlov,ITF M15 Sharm El Sheikh ,1.12,5.50
Tessah Andrianjafitrimo,Maria Sanchez,ITF W60 Andrezieux,2.20,1.61
Ayaka Okuno,Gergana Topalova,ITF 15 Antalya ,4.33,1.20
Siqi Cao,Zeynep Sonmez,ITF 15 Antalya ,1.83,1.83
Yexin Ma,Naho Sato,ITF 15 Antalya ,3.50,1.28
Evgeniya Burdina,Ipek Oz,ITF 15 Antalya ,2.37,1.53
Francesca Jones,Yekaterina Dmitrichenko,ITF 15 Antalya ,1.083,7.00
Julia Stamatova,Beyda Baykal,ITF 15 Antalya ,1.062,8.00
Kanako Morisaki,Melis Yasar,ITF 15 Antalya ,1.53,2.37
Ozlem Uslu,Oana Georgeta Simion,ITF 15 Antalya ,8.00,1.062
Ani Vangelova,Petia Arshinkova,ITF 15 Antalya ,5.50,1.12
Diana Demidova,Wushuang Zheng,ITF 15 Antalya ,3.50,1.28
Irina Maria Bara,Paula Badosa Gibert,ITF W60 Burnie ,2.62,1.44
Marta Kostyuk,Xiyu Wang,ITF W60 Burnie ,1.50,2.50
Zoe Hives,Georgina Garcia-Perez,ITF W60 Burnie ,1.57,2.25
Asia Muhammad,Ekaterine Gorgodze,ITF W60 Burnie ,1.33,3.25
Sara Sorribes Tormo,Katie Swan,ITF W60 Burnie ,1.44,2.62
Silvia Soler-Espinosa,Arina Rodionova,ITF W60 Burnie ,1.72,2.00
Lizette Cabrera,Destanee Aiava,ITF W60 Burnie ,2.10,1.66
Viktoriya Tomova,Belinda Woolcock,ITF W60 Burnie ,1.33,3.25
Katarzyna Kawa,Yana Sizikova,ITF W25 Kazán ,1.40,2.75
Natalija Kostic,Ekaterina Yashina,ITF W25 Kazán ,1.61,2.20
Varvara Gracheva,Dalma Galfi,ITF W25 Kazán ,1.72,2.00
