tenista_1,tenista_2,torneo,1,2
Dusan Lajovic,Leonardo Mayer,ATP Buenos Aires ,2.25,1.57
Marcelo Arevalo,Pablo Cuevas,ATP Buenos Aires ,4.33,1.20
Roberto C Baena,Taro Daniel,ATP Buenos Aires ,1.57,2.25
Francisco Cerundolo,Guido Pella,ATP Buenos Aires ,4.50,1.18
Guido Andreozzi,Aljaz Bedene,ATP Buenos Aires ,3.00,1.36
Jaume Munar,Federico Delbonis,ATP Buenos Aires ,1.83,1.83
Juan Ignacio Londero,Joao Sousa,ATP Buenos Aires ,2.25,1.57
David Ferrer,Malek Jaziri,ATP Buenos Aires ,1.40,2.75
Adrian Menendez-Maceiras,Christopher Eubanks,ATP Nueva York ,2.10,1.66
Reilly Opelka,Adrian Mannarino,ATP Nueva York ,1.53,2.37
Guillermo Garcia-Lopez,Bradley Klahn,ATP Nueva York ,2.20,1.61
Ramkumar Ramanathan,Jason Jung,ATP Nueva York ,1.72,2.00
Peter Polansky,Ryan Harrison,ATP Nueva York ,2.75,1.40
Brayden Schnur,Jack Mingjie Lin,ATP Nueva York ,1.083,8.00
Sam Querrey,Lloyd Harris,ATP Nueva York ,1.44,2.62
Denis Istomin,Mackenzie McDonald,ATP Nueva York ,2.20,1.61
Ivo Karlovic,Radu Albot,ATP Nueva York ,1.66,2.10
John Isner,Bernard Tomic,ATP Nueva York ,1.44,2.62
Matthew Ebden,Fernando Verdasco,ATP Róterdam ,101.00,1.001
Franko Skugor,Denis Shapovalov,ATP Róterdam ,4.00,1.22
Gilles Simon,Tomas Berdych,ATP Róterdam ,2.50,1.50
David Goffin,Gael Monfils,ATP Róterdam ,1.83,1.83
Kei Nishikori,Pierre-Hugues Herbert,ATP Róterdam ,1.25,3.75
Tallon Griekspoor,Karen Khachanov,ATP Róterdam ,8.00,1.083
Damir Dzumhur,Stefanos Tsitsipas,ATP Róterdam ,4.33,1.20
Daniil Medvedev,Jeremy Chardy,ATP Róterdam ,1.30,3.40
Jo-Wilfried Tsonga,Thomas Fabbiano,ATP Róterdam ,1.14,5.50
Martin Klizan,Marton Fucsovics,ATP Róterdam ,1.66,2.10
Anastasija Sevastova,Anna Blinkova,WTA Doha ,1.61,2.20
Anett Kontaveit,Lin Zhu,WTA Doha ,1.40,2.75
Elise Mertens,Katerina Siniakova,WTA Doha ,1.53,2.37
Karolina Muchova,Samantha Stosur,WTA Doha ,1.66,2.10
Mihaela Buzarnescu,Jelena Ostapenko,WTA Doha ,2.10,1.66
